Material,Qst_CO2_298K,Qst_CO2_273K,Qst_CH4
1,-24.10998,-24.25987,-18.06776
2,-24.39915,-24.82125,-18.42649
3,-24.60068,-25.25543,-18.33176
4,-24.54069,-25.03844,-17.89918
5,-24.08873,-24.56115,-18.19313
6,-26.05422,-26.13692,-18.46436
7,-26.83813,-27.61586,-19.13166
8,-26.57252,-27.67447,-18.73782
9,-27.06455,-27.85188,-18.98914
10,-26.1258,-26.30359,-18.85054
11,-23.3701,-23.2963,-17.6978
12,-22.6649,-22.9869,-17.5001
13,-22.925,-22.9709,-17.7234
14,-22.7031,-22.7548,-17.2129
15,-23.3284,-23.3146,-17.764
16,-26.5156,-27.3872,-18.4006
17,-26.9054,-27.7357,-18.4898
18,-27.0861,-26.9729,-18.258
19,-26.7019,-26.4933,-18.2671
20,-27.4213,-27.2638,-18.45446
21,-23.57547,-24.15734,-17.95874
22,-25.40844,-25.02197,-17.77002
23,-23.7262,-24.02644,-17.44486
24,-23.93256,-23.93951,-17.63127
25,-24.24486,-24.2915,-18.09822
26,-27.27952,-28.23439,-19.66729
27,-26.54351,-27.2092,-19.3044
28,-26.92203,-27.58757,-19.48136
29,-27.59901,-28.3963,-19.55623
30,-26.77888,-27.70924,-18.91617
31,-23.72931,-24.06735,-18.10479
32,-25.68763,-26.67724,-19.0512
33,-24.66476,-24.9867,-17.9283
34,-24.1374,-24.13249,-17.97172
35,-24.90165,-25.33503,-18.39083
36,-23.74052,-23.76473,-17.95821
37,-23.64616,-23.63805,-17.21884
38,-25.11656,-25.60098,-18.74388
39,-24.90786,-24.66707,-18.55593
40,-25.20647,-25.40149,-18.51652
41,-24.39889,-23.9628,-17.99062
42,-25.84199,-26.38587,-18.62918
43,-25.41785,-25.86459,-18.90734
44,-24.73917,-25.11694,-18.88962
45,-25.4492,-25.56181,-18.50195
46,-21.60563,-22.08971,-16.58277
47,-22.01626,-22.60023,-16.78103
48,-21.53573,-21.92046,-16.10436
49,-22.25269,-22.68295,-16.82093
50,-21.25697,-21.90532,-16.25274
51,-22.02297,-22.55255,-16.38764
52,-21.85943,-22.57032,-16.71205
53,-22.16936,-22.67544,-16.50954
54,-21.5418,-22.55376,-16.19516
55,-21.45716,-21.92519,-15.94918
56,-24.9831,-24.5794,-17.38108
57,-25.46442,-25.76409,-18.13125
58,-26.07791,-26.5384,-18.37383
59,-25.64309,-26.40992,-18.35277
60,-25.96676,-25.88022,-18.04142
61,-25.43403,-25.90185,-17.78419
62,-26.7484,-27.11919,-18.28996
63,-24.45833,-25.23088,-17.38446
64,-24.78063,-25.50945,-17.66102
65,-26.50671,-26.09384,-18.44041
66,-25.06762,-24.69618,-17.83767
67,-24.85056,-24.92454,-18.02168
68,-24.36227,-23.92946,-17.79709
69,-25.19366,-25.35183,-18.37549
70,-25.18998,-25.63763,-18.36024
71,-27.88594,-28.00963,-19.47396
72,-26.72843,-27.19652,-18.89002
73,-27.08957,-27.06536,-18.86315
74,-26.64329,-26.56334,-18.35169
75,-25.80644,-26.39252,-18.748